input,output
"Proposals to strengthen federal monitoring of cryptocurrency custody services, requiring insurance, reserve audits, and consumer protection standards for digital asset platforms.",Bill
"Effort establishing a federal task force on youth vaping and tobacco prevention, coordinating education campaigns, marketing restrictions, and cessation resources.",Bill
Measures to fund accelerated deployment of small modular nuclear reactors at federal sites and in partnership with utilities for clean baseload power.,Bill
Legislation requiring large tech platforms to conduct annual algorithmic audits for bias and discrimination in content recommendation and moderation systems.,Bill
Initiative creating federal matching grants for states expanding paid sick leave to cover part-time and gig workers with job protection provisions.,Bill
Reforms to modernize federal permitting for transmission lines and renewable projects with one-stop coordination and concurrent environmental reviews.,Bill
Order by the President directing agencies to integrate Indigenous traditional ecological knowledge into federal land management and climate adaptation planning processes.,Executive Order
"Presidential directive establishing mandatory sustainability performance targets for federal buildings, including energy, water, waste, and materials metrics with annual public reporting.",Executive Order
It is hereby ordered that federal procurement prioritize domestically sourced critical minerals and materials to support clean energy supply chain security.,Executive Order
"Presidential directive advancing equity in federal research funding by requiring diversity plans and impact assessments in grant awards from NIH, NSF, and DOE.",Executive Order
"Order mandating federal agencies to develop workforce plans addressing skills gaps in emerging technologies like AI, quantum, and cybersecurity.",Executive Order
White House order strengthening federal response to cyber threats against election infrastructure with enhanced coordination and rapid incident reporting requirements.,Executive Order
"By the authority vested in me, agencies shall expand use of behavioral insights and nudge techniques in public program design to improve outcomes.",Executive Order
"Order by the President creating an interagency council on ocean health to coordinate protection of marine ecosystems from pollution, overfishing, and acidification.",Executive Order
Order requiring federal health programs to screen for social determinants of health and connect beneficiaries to community resources as standard practice.,Executive Order
"Cabinet order promoting responsible federal use of generative AI tools with guidelines for transparency, accuracy, and human scrutiny in public communications.",Executive Order
GAO-31-115456: Federal Challenges in Managing Legacy IT Systems and Transition to Modern Cloud Architectures.,Report
periodic report to Congress: Progress on National Cybersecurity Strategy and Critical Infrastructure Resilience.,Report
Congressional Budget Office – Analysis of Long-Term Fiscal Effects from Climate Adaptation Investments.,Report
Department of State – Trafficking in Persons Report 2027: Global Assessment and U.S. Priorities.,Report
National Science Foundation – document on U.S. Research Competitiveness in Key Technology Areas 2028.,Report
